feature,score
SubstanceB_ratio,0.42806847948120574
SubstanceA_ratio,0.3059975243600875
SubstanceC_ratio,0.26593399615870683
SubstanceD_ratio,0.0
SubstanceA_nBr,0.0
SubstanceA_MATS7c,0.0
SubstanceA_AATS3p,0.0
SubstanceA_SIC3,0.0
SubstanceA_C4SP3,0.0
SubstanceA_VE3_Dzp,0.0
SubstanceA_ATS0v,0.0
SubstanceA_nSpiro,0.0
SubstanceA_SM1_Dzi,0.0
SubstanceA_NssAsH,0.0
SubstanceA_AATS2v,0.0
SubstanceA_TSRW10,0.0
SubstanceA_MATS3d,0.0
SubstanceA_SsSiH3,0.0
SubstanceA_ETA_eta_B,0.0
SubstanceA_nAcid,0.0
SubstanceA_AATS5pe,0.0
SubstanceA_ATSC2se,0.0
SubstanceA_AATSC4p,0.0
SubstanceA_MATS2d,0.0
SubstanceA_NdS,0.0
SubstanceA_GATS1v,0.0
SubstanceA_piPC8,0.0
SubstanceA_CIC5,0.0
SubstanceA_SssCH2,0.0
SubstanceA_SaasN,0.0
SubstanceA_GATS2Z,0.0
SubstanceA_ATS6d,0.0
SubstanceA_SpAD_Dzp,0.0
SubstanceA_n9FaHRing,0.0
SubstanceA_nG12FaRing,0.0
SubstanceA_AATSC7s,0.0
SubstanceA_piPC2,0.0
SubstanceA_SsssPbH,0.0
SubstanceA_ATS1p,0.0
SubstanceA_ATS2m,0.0
SubstanceA_GATS4Z,0.0
SubstanceA_ATSC4se,0.0
SubstanceA_MATS7pe,0.0
SubstanceA_AATS4Z,0.0
SubstanceA_ATSC5m,0.0
SubstanceA_GATS7v,0.0
SubstanceA_Xpc-6d,0.0
SubstanceA_ATS6Z,0.0
SubstanceA_AATS1dv,0.0
SubstanceA_SpMAD_D,0.0
SubstanceA_ATSC2s,0.0
SubstanceA_AATSC0v,0.0
SubstanceA_MATS6Z,0.0
SubstanceA_MATS6m,0.0
SubstanceA_AATSC1i,0.0
SubstanceA_Xpc-5dv,0.0
SubstanceA_AATS2i,0.0
SubstanceA_ATSC5Z,0.0
SubstanceA_CIC1,0.0
SubstanceA_Mv,0.0
SubstanceA_piPC4,0.0
SubstanceA_Mse,0.0
SubstanceA_AXp-6dv,0.0
SubstanceA_NssO,0.0
SubstanceA_PEOE_VSA3,0.0
SubstanceA_Xc-4dv,0.0
SubstanceA_ATSC8m,0.0
SubstanceA_MATS5pe,0.0
SubstanceA_n10AHRing,0.0
SubstanceA_AATS7se,0.0
SubstanceA_AATS8se,0.0
SubstanceA_AATSC3c,0.0
SubstanceA_NssSiH2,0.0
SubstanceA_MATS7are,0.0
SubstanceA_MATS6dv,0.0
SubstanceA_SpMAD_Dzse,0.0
SubstanceA_piPC7,0.0
SubstanceA_BCUTdv-1l,0.0
SubstanceA_VSA_EState7,0.0
SubstanceA_BIC2,0.0
SubstanceA_n3Ring,0.0
SubstanceA_SaaN,0.0
SubstanceA_ETA_eta_R,0.0
SubstanceA_n4Ring,0.0
SubstanceA_AATSC5pe,0.0
SubstanceA_ATSC4p,0.0
SubstanceA_ZMIC4,0.0
SubstanceA_AATS4v,0.0
SubstanceA_GATS5i,0.0
SubstanceA_AATS2Z,0.0
SubstanceA_ATSC7pe,0.0
SubstanceA_AATS1s,0.0
SubstanceA_AMID,0.0
SubstanceA_ATSC3d,0.0
SubstanceA_AATS2d,0.0
SubstanceA_n11aRing,0.0
SubstanceA_VE2_Dzi,0.0
SubstanceA_AATS0d,0.0
SubstanceA_AATS6m,0.0
SubstanceA_MATS8dv,0.0
SubstanceA_BCUTZ-1h,0.0
SubstanceA_AATS5v,0.0
SubstanceA_MATS7p,0.0
SubstanceA_GGI4,0.0
SubstanceA_AATS0are,0.0
SubstanceA_ATSC3v,0.0
SubstanceA_C2SP2,0.0
SubstanceA_NsssSiH,0.0
SubstanceA_AATS0Z,0.0
SubstanceA_SssGeH2,0.0
SubstanceA_MATS5are,0.0
SubstanceA_ATSC6m,0.0
SubstanceA_n5ARing,0.0
SubstanceA_AATSC2p,0.0
SubstanceA_nRot,0.0
SubstanceA_MID_C,0.0
SubstanceA_JGI4,0.0
SubstanceA_AXp-5dv,0.0
SubstanceA_VR3_D,0.0
SubstanceA_SssssGe,0.0
SubstanceA_n4ARing,0.0
SubstanceA_GATS3dv,0.0
SubstanceA_MATS5c,0.0
SubstanceA_MWC08,0.0
SubstanceA_AATSC0pe,0.0
SubstanceA_HybRatio,0.0
SubstanceA_n5FRing,0.0
SubstanceA_n10FRing,0.0
SubstanceA_AXp-6d,0.0
SubstanceA_JGI3,0.0
SubstanceA_SssSiH2,0.0
SubstanceA_AATS1Z,0.0
SubstanceA_Sv,0.0
SubstanceA_SssS,0.0
SubstanceA_ETA_eta_RL,0.0
SubstanceA_SpAbs_Dzpe,0.0
SubstanceA_ATSC8p,0.0
SubstanceA_SsssAs,0.0
SubstanceA_ATSC3i,0.0
SubstanceA_AMID_O,0.0
SubstanceA_ATSC0s,0.0
SubstanceA_Xc-4d,0.0
SubstanceA_VSA_EState6,0.0
SubstanceA_AATS7d,0.0
SubstanceA_AATS1v,0.0
SubstanceA_ATS7se,0.0
SubstanceA_n3aHRing,0.0
SubstanceA_AXp-4dv,0.0
SubstanceA_MDEC-14,0.0
SubstanceA_MATS1are,0.0
SubstanceA_NssBe,0.0
SubstanceA_GATS7Z,0.0
SubstanceA_GATS4dv,0.0
SubstanceA_SssNH2,0.0
SubstanceA_BIC0,0.0
SubstanceA_ATSC2dv,0.0
SubstanceA_RotRatio,0.0
SubstanceA_GATS8s,0.0
SubstanceA_GATS6dv,0.0
SubstanceA_nRing,0.0
SubstanceA_BCUTpe-1h,0.0
SubstanceA_RNCG,0.0
SubstanceA_GATS3s,0.0
SubstanceA_GATS8d,0.0
SubstanceA_ATSC7c,0.0
SubstanceA_MATS1Z,0.0
SubstanceA_VMcGowan,0.0
